Division,Service,Year Established,FAQ Sheet URL
Latin America,Spanish,1941*,http://www.insidevoa.com/p/6373.html?nocache=1
Latin America,Creole,1987,http://www.insidevoa.com/p/6378.html?nocache=1
Africa,French,1960,http://www.insidevoa.com/p/6392.html?nocache=1
Africa,Central Africa,1996,http://www.insidevoa.com/p/6393.html?nocache=1
Africa,Hausa,1979,http://www.insidevoa.com/p/6394.html?nocache=1
Africa,Horn of Africa,,http://www.insidevoa.com/p/6416.html?nocache=1
Africa,Portuguese,,http://www.insidevoa.com/p/6417.html?nocache=1
Africa,Somali,,http://www.insidevoa.com/p/6420.html?nocache=1
Africa,Swahili,,http://www.insidevoa.com/p/6421.html?nocache=1
Africa,Bambara,,http://www.insidevoa.com/p/6422.html?nocache=1
Africa,Zimbabwe,,http://www.insidevoa.com/p/6423.html?nocache=1
Eurasia,Albanian,,http://www.insidevoa.com/p/6426.html?nocache=1
Eurasia,Armenian,,http://www.insidevoa.com/p/6427.html?nocache=1
Eurasia,Bosnian,,http://www.insidevoa.com/p/6428.html?nocache=1
