Division,Service,Year Established,FAQ Sheet URL
Latin America,Spanish,1942*,https://www.insidevoa.com/voa-broadcasting-in-spanish.html
Latin America,Creole,1987,https://www.insidevoa.com/p/voa-broadcasting-in-creole-to-haiti.html
Africa,Central Africa,1996,https://www.insidevoa.com/voa-broadcasting-to--central-news-africa.html
Africa,English to Africa,1963,https://www.insidevoa.com/p/voa-broadcasting-in-english-to-africa.html
Africa,French,1960,https://www.insidevoa.com/voa-broadcasting-in-french-to-africa.html
Africa,Hausa,1979,https://www.insidevoa.com/voa-broadcasting-in-hausa-to-africa.html
Africa,Horn of Africa,1982,https://www.insidevoa.com/voa-broadcasting-to-the-horn-of-africa.html
Africa,Portuguese,1976,https://www.insidevoa.com/voa-broadcasting-in-portuguese-to-africa.html
Africa,Somali,1992*,https://www.insidevoa.com/voa-broadcating-in-somali.html
Africa,Swahili,1962,https://www.insidevoa.com/voa-broadcasting-in-swahili.html
Africa,Bambara,2013,https://www.insidevoa.com/p/voa-broadcasting-bambara-to-mali.html
Africa,Zimbabwe,2003,https://www.insidevoa.com/voa-broadcasting-to-zimbabwe.html
East Asia and Pacific,Burmese/Myanmar,1942,https://www.insidevoa.com/voa-broadcasting-in-burmese.html
East Asia and Pacific,Cantonese,1939,https://www.insidevoa.com/voa-broadcasting-in-cantonese.html
East Asia and Pacific,Indonesian,1942,https://www.insidevoa.com/voa-broadcasting-in-indonesian.html
East Asia and Pacific,Khmer,1955*,https://www.insidevoa.com/voa-broadcasting-in-khmer.html
East Asia and Pacific,Korea,1942,https://www.insidevoa.com/voa-braodcasting-in-korean.html
East Asia and Pacific,Lao,1962,https://www.insidevoa.com/voa-broadcasting-in-lao.html
East Asia and Pacific,Mandarin,1942, https://www.insidevoa.com/voa-broadcasting-in-mandarin.html
East Asia and Pacific,Thai,1942,https://www.insidevoa.com/voa-broadcasting-in-thai.html
East Asia and Pacific,Tibetan,1991,https://www.insidevoa.com/voa-broadcasting-in-tibetan.html
East Asia and Pacific,Vietnam,1951,https://www.insidevoa.com/voa-broadcasting-in-vietnamese.html
English,English,1942*,https://www.insidevoa.com/p/voa-global-english.html
Eurasia,Albanian,1943*, https://www.insidevoa.com/voa-broadcasting-in-albanian.html
Eurasia,Armenian,1951, https://www.insidevoa.com/voa-broadcasting-in-armenian.html
Eurasia,Bosnian,1996,https://www.insidevoa.com/voa-broadcasting-in-bosnian.html
Eurasia,Georgian,1951,https://www.insidevoa.com/voa-broadcasting-in-georgian.html
Eurasia,Macedonian,1999,https://www.insidevoa.com/voa-broadcasting-in-macedonian.html
Eurasia,Russian,1947,https://www.insidevoa.com/voa-broadcasting-in-russian.html
Eurasia,Serbian,1943,https://www.insidevoa.com/voa-broadcasting-in-serbian.html
Eurasia,Ukrainian,1949,https://www.insidevoa.com/voa-broadcastin-in-ukrainian.html
News Center,News Center,1942,https://www.insidevoa.com/p/voa-news-center.html
Persian,Persian,1979,https://www.insidevoa.com/p/voa-broadcasting-to-iran.html
South and Central Asia,Afghan,1980/1982,https://www.insidevoa.com/p/voa-broadcasting-to-afghanistan.html
South and Central Asia,Azerbaijani,1982,https://www.insidevoa.com/p/voa-broadcasting-in-azerbaijani.html
South and Central Asia,Bangla,1958,https://www.insidevoa.com/p/voa-broadcasting-in-bangla.html
South and Central Asia,Deewa,2006,https://www.insidevoa.com/p/voa-broadcasting-to-pakistan-afghanistan-border-region.html
South and Central Asia,Kurdish ,1992,https://www.insidevoa.com/p/voa-broadcasting-in-kurdish.html
South and Central Asia,Turkish,1942*,https://www.insidevoa.com/p/voa-broadcasting-in-turkish.html
South and Central Asia,Urdu,1951,https://www.insidevoa.com/p/voa-broadcasting-to-pakistan-in-urdu.html
South and Central Asia,Uzbek,1972,https://www.insidevoa.com/p/voa-broadcasting-in-uzbek.html
